filename,algorithm,,population,stepSize,time,memory,generation
gosperglidergun.rle,hashlife,,120,2,2.98,10496368,448
gosperglidergun.rle,hashlife,,111,2,2.975,11142704,450
gosperglidergun.rle,hashlife,,118,2,3.21,12589816,452
gosperglidergun.rle,hashlife,,126,2,3.035,13283560,454
gosperglidergun.rle,hashlife,,126,2,3.17,14012288,456
gosperglidergun.rle,hashlife,,136,2,3.265,14765608,458
gosperglidergun.rle,hashlife,,123,2,3.35,15563816,460
gosperglidergun.rle,hashlife,,129,2,3.415,16376288,462
gosperglidergun.rle,hashlife,,131,2,2.6,16916608,464
gosperglidergun.rle,hashlife,,119,2,2.6,17465440,466
gosperglidergun.rle,hashlife,,128,2,2.67,18034224,468
gosperglidergun.rle,hashlife,,129,2,2.705,18625952,470
gosperglidergun.rle,hashlife,,124,2,2.76,19237600,472
gosperglidergun.rle,hashlife,,118,2,2.815,19869120,474
gosperglidergun.rle,hashlife,,122,2,7.165,21375696,476
gosperglidergun.rle,hashlife,,125,2,3.21,10381256,478
gosperglidergun.rle,hashlife,,116,2,2.935,11012712,480
gosperglidergun.rle,hashlife,,123,2,2.905,11636888,482
gosperglidergun.rle,hashlife,,131,2,2.905,12251456,484
gosperglidergun.rle,hashlife,,131,2,2.91,12879712,486
gosperglidergun.rle,hashlife,,141,2,2.985,13537720,488
gosperglidergun.rle,hashlife,,128,2,3.12,14244592,490
gosperglidergun.rle,hashlife,,134,2,3.13,14957488,492
gosperglidergun.rle,hashlife,,136,2,3.415,16126688,494
gosperglidergun.rle,hashlife,,124,2,3.23,16883472,496
gosperglidergun.rle,hashlife,,133,2,3.135,17605520,498
gosperglidergun.rle,hashlife,,134,2,3.335,18393760,500
gosperglidergun.rle,hashlife,,129,2,3.685,10119768,502
gosperglidergun.rle,hashlife,,123,2,3.425,10946688,504
gosperglidergun.rle,hashlife,,127,2,2.595,11492872,506
gosperglidergun.rle,hashlife,,130,2,2.645,12042056,508
gosperglidergun.rle,hashlife,,121,2,2.675,12611952,510
gosperglidergun.rle,hashlife,,128,2,2.69,13203552,512
gosperglidergun.rle,hashlife,,136,2,2.775,13820936,514
gosperglidergun.rle,hashlife,,136,2,2.804999999,14457112,516
gosperglidergun.rle,hashlife,,146,2,5.135,15932656,518
gosperglidergun.rle,hashlife,,133,2,3.27,16786416,520
gosperglidergun.rle,hashlife,,139,2,3.04,17457688,522
gosperglidergun.rle,hashlife,,141,2,3.255,18197320,524
gosperglidergun.rle,hashlife,,129,2,3.15,18901400,526
gosperglidergun.rle,hashlife,,138,2,3.005,19551736,528
gosperglidergun.rle,hashlife,,139,2,3.21,20268616,530
gosperglidergun.rle,hashlife,,134,2,3.225,21001672,532
gosperglidergun.rle,hashlife,,128,2,3.355,22373608,534
gosperglidergun.rle,hashlife,,132,2,3.245,12487712,536
gosperglidergun.rle,hashlife,,135,2,3.155,13213944,538
gosperglidergun.rle,hashlife,,126,2,3.105,13927960,540
gosperglidergun.rle,hashlife,,133,2,3.15,14663592,542
gosperglidergun.rle,hashlife,,141,2,3.23,15427248,544
gosperglidergun.rle,hashlife,,141,2,3.335,16229320,546
gosperglidergun.rle,hashlife,,151,2,2.565,16774056,548
gosperglidergun.rle,hashlife,,138,2,2.605,17334856,550
gosperglidergun.rle,hashlife,,144,2,2.7,17919168,552
gosperglidergun.rle,hashlife,,146,2,2.75,18531888,554
gosperglidergun.rle,hashlife,,134,2,2.815,19161760,556
gosperglidergun.rle,hashlife,,143,2,2.87,19811720,558
gosperglidergun.rle,hashlife,,144,2,5.27,21343368,560
gosperglidergun.rle,hashlife,,139,2,3.46,22268464,562
gosperglidergun.rle,hashlife,,133,2,3.24,23012184,564
